symbol,window_start,window_end,regime,trades,wins,losses,gross_profit,gross_loss,total_return_pct,max_drawdown_pct,exit_reasons
1HZ10V,2026-01-05,2026-04-05,ranging/med-vol,2,1,1,0.63,0.00,6.25,0.03,"BIAS_REVERSAL:1 EOD_MARK:1"
1HZ10V,2026-02-04,2026-05-05,trending/med-vol,2,2,0,0.68,0.00,6.76,0,"BIAS_REVERSAL:1 EOD_MARK:1"
1HZ10V,2026-03-06,2026-06-04,ranging/med-vol,2,2,0,0.12,0.00,1.16,0,"BIAS_REVERSAL:2"
1HZ10V,2026-04-05,2026-07-04,ranging/med-vol,1,0,1,0.00,0.04,-0.44,0.44,"BIAS_REVERSAL:1"
1HZ15V,2025-07-09,2025-10-07,trending/med-vol,4,1,3,0.80,0.70,1.03,6.87,"BIAS_REVERSAL:4"
1HZ15V,2025-08-08,2025-11-06,ranging/med-vol,2,1,1,0.68,0.01,6.63,0.14,"BIAS_REVERSAL:2"
1HZ15V,2025-09-07,2025-12-06,ranging/med-vol,1,0,1,0.00,0.01,-0.14,0.14,"BIAS_REVERSAL:1"
1HZ15V,2025-10-07,2026-01-05,ranging/med-vol,1,1,0,0.00,0.00,0.01,0,"EOD_MARK:1"
1HZ15V,2025-11-06,2026-02-04,ranging/med-vol,1,1,0,0.29,0.00,2.9,0,"EOD_MARK:1"
1HZ15V,2025-12-06,2026-03-06,ranging/med-vol,1,1,0,0.07,0.00,0.69,0,"BIAS_REVERSAL:1"
1HZ15V,2026-01-05,2026-04-05,ranging/med-vol,2,1,1,0.16,0.13,0.34,1.27,"BIAS_REVERSAL:2"
1HZ15V,2026-02-04,2026-05-05,ranging/med-vol,2,0,2,0.00,0.42,-4.24,4.24,"BIAS_REVERSAL:2"
1HZ15V,2026-03-06,2026-06-04,ranging/med-vol,3,0,3,0.00,0.76,-7.56,7.56,"BIAS_REVERSAL:3"
1HZ15V,2026-04-05,2026-07-04,ranging/med-vol,3,0,3,0.00,0.73,-7.28,7.28,"BIAS_REVERSAL:3"
1HZ25V,2025-07-09,2025-10-07,ranging/high-vol,2,1,1,0.83,0.29,5.37,2.7,"BIAS_REVERSAL:2"
1HZ25V,2025-08-08,2025-11-06,ranging/high-vol,2,0,2,0.00,0.72,-7.19,7.19,"BIAS_REVERSAL:1 EOD_MARK:1"
1HZ25V,2025-09-07,2025-12-06,ranging/high-vol,3,0,3,0.00,1.10,-10.99,10.99,"BIAS_REVERSAL:2 EOD_MARK:1"
1HZ25V,2025-10-07,2026-01-05,ranging/high-vol,2,0,2,0.00,1.41,-14.06,14.06,"BIAS_REVERSAL:1 SL:1"
1HZ25V,2025-11-06,2026-02-04,ranging/high-vol,2,0,2,0.00,0.91,-9.13,9.13,"SL:1 EOD_MARK:1"
1HZ25V,2025-12-06,2026-03-06,ranging/high-vol,2,1,1,0.01,0.64,-6.32,6.37,"BIAS_REVERSAL:1 EOD_MARK:1"
1HZ25V,2026-01-05,2026-04-05,ranging/high-vol,2,0,2,0.00,0.91,-9.12,9.12,"BIAS_REVERSAL:2"
1HZ25V,2026-02-04,2026-05-05,ranging/high-vol,1,0,1,0.00,0.28,-2.75,2.75,"BIAS_REVERSAL:1"
1HZ25V,2026-03-06,2026-06-04,ranging/high-vol,2,0,2,0.00,0.91,-9.14,9.14,"BIAS_REVERSAL:2"
1HZ25V,2026-04-05,2026-07-04,ranging/high-vol,2,0,2,0.00,0.83,-8.27,8.27,"BIAS_REVERSAL:2"
1HZ50V,2025-07-09,2025-10-07,ranging/high-vol,5,1,4,1.60,3.20,-16,22.22,"SL:4 TP:1"
1HZ50V,2025-08-08,2025-11-06,ranging/high-vol,2,0,2,0.00,1.60,-16,16,"SL:2"
1HZ50V,2025-09-07,2025-12-06,ranging/high-vol,2,1,1,0.71,0.80,-0.85,8,"SL:1 EOD_MARK:1"
1HZ50V,2025-10-07,2026-01-05,ranging/high-vol,2,1,1,1.60,0.21,13.92,1.8,"TP:1 EOD_MARK:1"
1HZ50V,2025-11-06,2026-02-04,ranging/high-vol,2,1,1,1.60,0.80,8,6.9,"TP:1 SL:1"
1HZ50V,2025-12-06,2026-03-06,ranging/high-vol,3,2,1,2.15,0.80,13.48,6.9,"TP:1 SL:1 EOD_MARK:1"
1HZ50V,2026-01-05,2026-04-05,ranging/high-vol,4,2,2,3.20,1.00,22.01,7.57,"TP:2 SL:1 EOD_MARK:1"
1HZ50V,2026-02-04,2026-05-05,ranging/high-vol,5,3,2,3.35,1.60,17.51,12.12,"TP:2 SL:2 EOD_MARK:1"
1HZ50V,2026-03-06,2026-06-04,ranging/high-vol,4,1,3,1.60,2.10,-4.98,18.09,"TP:1 SL:2 BIAS_REVERSAL:1"
1HZ50V,2026-04-05,2026-07-04,ranging/high-vol,3,1,2,1.44,1.30,1.39,12.98,"BIAS_REVERSAL:1 SL:1 EOD_MARK:1"
1HZ75V,2025-07-09,2025-10-07,ranging/high-vol,1,0,1,0.00,0.80,-8,8,"SL:1"
1HZ75V,2025-08-08,2025-11-06,ranging/high-vol,2,0,2,0.00,0.51,-5.1,5.1,"BIAS_REVERSAL:1 EOD_MARK:1"
1HZ75V,2025-09-07,2025-12-06,ranging/high-vol,2,0,2,0.00,0.82,-8.17,8.17,"BIAS_REVERSAL:2"
1HZ75V,2025-10-07,2026-01-05,ranging/high-vol,3,0,3,0.00,1.62,-16.17,16.17,"BIAS_REVERSAL:2 SL:1"
1HZ75V,2025-11-06,2026-02-04,ranging/high-vol,3,0,3,0.00,2.24,-22.45,22.45,"BIAS_REVERSAL:2 SL:1"
1HZ75V,2025-12-06,2026-03-06,ranging/high-vol,2,0,2,0.00,1.47,-14.74,14.74,"SL:1 BIAS_REVERSAL:1"
1HZ75V,2026-01-05,2026-04-05,ranging/high-vol,2,1,1,0.90,0.50,4.01,5,"BIAS_REVERSAL:1 EOD_MARK:1"
1HZ75V,2026-02-04,2026-05-05,ranging/high-vol,4,2,2,2.59,1.00,15.98,5,"BIAS_REVERSAL:2 TP:1 EOD_MARK:1"
