symbol,direction,entry_time,entry_price,exit_time,exit_price,stake,multiplier,pnl,outcome,equity_after
frxEURGBP,buy,2025-08-19T10:45:00.000Z,0.86412,2025-09-18T00:00:00.000Z,0.86752,1,10,0.04,BIAS_REVERSAL,9.91
frxAUDUSD,sell,2025-08-19T15:30:00.000Z,0.64628,2025-08-29T00:00:00.000Z,0.65336,1,10,-0.11,BIAS_REVERSAL,9.73
JD100,sell,2025-08-21T09:00:00.000Z,2190.08,2025-08-27T06:00:00.000Z,1489.2543999999998,1,5,1.60,TP,11.52
STPRNG3,sell,2025-08-21T19:15:00.000Z,11372.2,2025-09-23T00:00:00.000Z,10736.5,1,10,0.56,BIAS_REVERSAL,10.70
STPRNG4,sell,2025-08-22T04:15:00.000Z,8920.8,2025-09-10T00:00:00.000Z,9086.8,1,10,-0.19,BIAS_REVERSAL,9.21
JD50,sell,2025-08-23T02:15:00.000Z,39523.02,2025-08-25T00:00:00.000Z,40547.65,1,10,-0.26,BIAS_REVERSAL,12.20
JD10,buy,2025-08-26T06:00:00.000Z,87351.05,2025-09-27T00:00:00.000Z,88378.88,1,10,0.12,BIAS_REVERSAL,9.91
CRASH500,buy,2025-08-26T17:00:00.000Z,3065.491,2025-09-27T00:00:00.000Z,3159.125,1,5,0.15,BIAS_REVERSAL,10.56
R_75,sell,2025-08-28T06:00:00.000Z,84979.5097,2025-09-08T00:00:00.000Z,75099.1938,1,5,0.58,BIAS_REVERSAL,10.39
JD100,sell,2025-08-28T12:00:00.000Z,1392.83,2025-09-02T15:00:00.000Z,1615.6827999999998,1,5,-0.80,SL,10.72
CRASH900,buy,2025-08-29T01:00:00.000Z,16249.478,2025-10-31T00:00:00.000Z,19997.279,1,5,1.15,BIAS_REVERSAL,11.17
STPRNG5,buy,2025-08-30T01:30:00.000Z,6741.5,2025-09-18T00:00:00.000Z,6433.5,1,10,-0.46,BIAS_REVERSAL,8.32
1HZ90V,buy,2025-08-31T11:15:00.000Z,20769.705,2025-09-30T00:00:00.000Z,20290.03,1,5,-0.12,BIAS_REVERSAL,8.65
frxEURAUD,sell,2025-09-03T10:00:00.000Z,1.7847,2025-09-19T00:00:00.000Z,1.78057,1,10,0.02,BIAS_REVERSAL,9.98
JD100,sell,2025-09-04T05:30:00.000Z,1500.79,2025-09-16T21:30:00.000Z,1740.9163999999998,1,5,-0.80,SL,9.92
BOOM900,sell,2025-09-06T01:15:00.000Z,9637.855,2025-09-24T00:00:00.000Z,9846.029,1,5,-0.11,BIAS_REVERSAL,9.58
R_100,buy,2025-09-07T02:45:00.000Z,1276.11,2025-09-19T16:30:00.000Z,1071.9324,1,5,-0.80,SL,8.69
R_75,buy,2025-09-08T01:30:00.000Z,75437.4132,2025-09-12T00:00:00.000Z,75165.8958,1,5,-0.02,BIAS_REVERSAL,10.37
1HZ100V,buy,2025-09-08T04:15:00.000Z,773.28,2025-09-29T22:15:00.000Z,649.5551999999999,1,5,-0.80,SL,8.61
BOOM600,buy,2025-09-09T06:15:00.000Z,6257.446,2025-10-05T00:00:00.000Z,6566.697,1,5,0.25,BIAS_REVERSAL,9.71
